layer,linear_acc,xgb_acc,gap
0,0.49295774647887325,0.49295774647887325,0.0
1,0.4084507042253521,0.5070422535211268,0.09859154929577463
2,0.5070422535211268,0.4647887323943662,-0.04225352112676056
3,0.5492957746478874,0.5633802816901409,0.014084507042253502
4,0.5915492957746479,0.5492957746478874,-0.04225352112676051
5,0.8591549295774648,0.8450704225352113,-0.014084507042253502
6,0.9154929577464789,0.8450704225352113,-0.07042253521126762
7,0.971830985915493,1.0,0.028169014084507005
8,1.0,0.9859154929577465,-0.014084507042253502
9,0.9859154929577465,1.0,0.014084507042253502
10,1.0,0.9859154929577465,-0.014084507042253502
11,0.9859154929577465,0.9859154929577465,0.0
12,0.9859154929577465,1.0,0.014084507042253502
13,0.9859154929577465,0.9859154929577465,0.0
14,1.0,1.0,0.0
15,1.0,0.9859154929577465,-0.014084507042253502
16,1.0,1.0,0.0
17,1.0,0.9859154929577465,-0.014084507042253502
18,1.0,0.9859154929577465,-0.014084507042253502
19,1.0,0.971830985915493,-0.028169014084507005
20,1.0,0.9436619718309859,-0.05633802816901412
21,0.9859154929577465,0.9577464788732394,-0.028169014084507116
22,0.9859154929577465,0.9577464788732394,-0.028169014084507116
23,0.9859154929577465,0.8873239436619719,-0.09859154929577463
24,0.9859154929577465,0.9436619718309859,-0.04225352112676062
25,0.9859154929577465,0.9436619718309859,-0.04225352112676062
26,0.9859154929577465,0.9577464788732394,-0.028169014084507116
