direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
mag_resid_pc1,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.00514236375
mag_resid_pc1,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0026523458333333333
mag_resid_pc1,0.01,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.002818724166666667
mag_resid_pc1,0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.00580842875
mag_resid_pc1,0.04,1.0,0.5,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.125,0.012330939166666666
mag_resid_pc1,0.08,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.027880720833333334
mag_resid_pc1,0.15,0.02482269503546099,1.0,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.20833333333333334,0,5,0.0,0.125,0.06603559583333334
mag_resid_pc1,0.22,9.070441415567581e-11,0.753968253968254,0.8717406882028634,9.161145829723257e-09,1.0,1.0,True,True,True,0.875,0,21,0.03125,0.09375,0.11743135
mag_resid_pc1,0.3,3.101005612159858e-14,0.753968253968254,0.8717406882028634,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.03125,0.09375,0.16270339583333335
mag_resid_pc1,0.4,3.101005612159858e-14,0.6935987509758001,0.9479021950541817,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.0625,0.17026494583333332
mag_resid_pc1,0.52,3.101005612159858e-14,0.9019635083819579,0.9479021950541817,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.0625,0.13131381583333332
mag_resid_pc1,0.66,3.101005612159858e-14,0.9879133092525701,0.9879133092525701,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.03125,0.03125,0.05146566249999999
mag_resid_pc1,0.82,3.101005612159858e-14,1.0,1.0,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0,0.0,-0.023055303333333332
mag_resid_pc1,1.0,3.101005612159858e-14,0.9936485546889021,1.0,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.0,-0.0417785875
mag_u_gold,-1.0,0.11702127659574464,0.6338596181023172,0.11872453195706154,1.0,1.0,1.0,False,True,False,0.125,0,3,0.15625,0.3125,-0.1401953375
mag_u_gold,-0.82,3.101005612159858e-14,0.12825931179713657,0.37498016799877926,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.1875,0.21875,-0.205461625
mag_u_gold,-0.66,3.101005612159858e-14,0.3359332618849151,0.49999999999999994,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.125,0.1875,-0.2093190833333333
mag_u_gold,-0.52,3.101005612159858e-14,0.17733541504033307,0.8717406882028634,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.125,0.09375,-0.14623066666666665
mag_u_gold,-0.4,0.24468085106382984,0.3064012490241998,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.08333333333333333,0,2,0.09375,0.125,-0.0623236375
mag_u_gold,-0.3,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0295079875
mag_u_gold,-0.22,1.0,0.5,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.01903355958333333
mag_u_gold,-0.15,1.0,0.24603174603174596,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.09375,-0.012792012916666666
mag_u_gold,-0.08,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.007042935416666667
