direction,abs_tau,flip_pos,flip_neg,k_pos,k_neg,n_yesno,asym,fisher_p,holm_p,sig_holm,nonmono_pos,nonmono_neg,incoh_pos,incoh_neg,incoh_base,classification,sig_at_min_mag,saturated
mag_resid_pc1,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.125,0.15625,0.15625,symmetric,False,True
mag_resid_pc1,1.0,0.9583333333333334,0.9583333333333334,23,23,24,0.0,1.0,1.0,False,False,False,0.15625,0.1875,0.15625,symmetric,False,True
mag_u_Answered,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.1875,0.15625,inert,False,True
mag_u_Answered,1.0,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.1875,0.21875,0.15625,inert,False,True
mag_u_FewShot,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.1875,0.15625,inert,False,True
mag_u_FewShot,1.0,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.0625,0.15625,inert,False,True
mag_u_Prefixed,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.1875,0.15625,symmetric,False,False
mag_u_Prefixed,1.0,0.5,0.1666666666666666,12,4,24,0.33333333333333337,0.030476524725930355,0.3961948214370946,False,False,False,0.03125,0.3125,0.15625,symmetric,False,False
mag_u_QuestionDelta,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.1875,0.15625,symmetric,False,False
mag_u_QuestionDelta,1.0,0.5,0.1666666666666666,12,4,24,0.33333333333333337,0.030476524725930355,0.3961948214370946,False,False,False,0.03125,0.3125,0.15625,symmetric,False,False
mag_u_gold,0.3,0.2916666666666667,0.0,7,0,24,0.2916666666666667,0.009401286491835723,0.13161801088570013,False,True,False,0.125,0.15625,0.15625,directional,False,False
mag_u_gold,1.0,0.0,0.8333333333333334,0,20,24,0.8333333333333334,1.2698617981794619e-09,2.2857512367230312e-08,True,True,False,0.21875,0.1875,0.15625,directional,False,False
mag_u_yM,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.125,0.1875,0.15625,inert,False,True
mag_u_yM,1.0,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.40625,0.3125,0.15625,inert,False,True
sup_grad,0.3,0.7916666666666666,0.0,19,0,24,0.7916666666666666,7.365198429440878e-09,1.2520837330049494e-07,True,False,False,0.125,0.125,0.15625,directional,True,False
sup_grad,1.0,0.9166666666666666,0.2916666666666667,22,7,24,0.625,1.711987766363322e-05,0.0002567981649544983,True,False,False,0.1875,0.125,0.15625,directional,True,False
sup_mean_diff,0.3,0.2083333333333333,0.0,5,0,24,0.2083333333333333,0.049645390070921974,0.5460992907801417,False,True,False,0.15625,0.15625,0.15625,directional,False,False
sup_mean_diff,1.0,0.0,0.7916666666666666,0,19,24,0.7916666666666666,7.365198429440878e-09,1.2520837330049494e-07,True,True,False,0.25,0.1875,0.15625,directional,False,False
