stmt_index,label,eff_rank,s1,s64_over_s1,dctV_overlap_top16
95,0,425.0118466565367,25.58978271484375,0.09665329958462826,0.058720966242906826
101,0,478.426409610202,23.259538650512695,0.11285004662272462,0.05995329704811629
126,1,525.0027651761065,18.95355796813965,0.1264852135774107,0.060543632813461916
130,1,517.9877672166509,17.60719871520996,0.1429508057582278,0.05803604864935521
135,0,450.9434994168234,26.464012145996094,0.09226410085245414,0.0651631429427206
138,1,511.76381817144977,21.386552810668945,0.11246347115100512,0.06771301296695789
245,0,441.98708391073967,27.611474990844727,0.09225413285724697,0.060572313476648966
298,1,513.7521665831598,18.62254524230957,0.13298781276575172,0.07592572297796854
333,0,412.4672847945576,31.00084114074707,0.080444737334149,0.05774039355813562
409,0,443.4662032032195,26.359434127807617,0.0961126445240155,0.054818683253290326
529,0,476.45983307216676,25.138090133666992,0.09891649586607301,0.06225266096033538
638,1,481.46036116949205,22.117294311523438,0.11248067409048354,0.06776708149503514
646,1,503.0905128536832,22.136138916015625,0.11087002891334888,0.07310608610162812
667,0,431.44011532342216,26.597497940063477,0.09127179341844016,0.05941616843166226
782,1,496.0608738773137,22.262590408325195,0.1097678750076358,0.06857188990945313
815,0,400.69681102567137,31.4710750579834,0.08065340156159669,0.06989430865640882
937,0,496.6229930843687,19.28359031677246,0.1281988134702188,0.0581516212625348
962,1,550.7641967801466,16.134275436401367,0.1437022542953328,0.06239152569078039
1032,1,524.9109192336861,14.399995803833008,0.15996985659780563,0.0561966957592081
1043,0,469.86065783458145,23.962881088256836,0.10097615694923313,0.06176725246246478
1070,1,526.9805966622392,18.257593154907227,0.13343752614984355,0.06544190463273486
1096,1,520.6365394561537,15.912407875061035,0.15038097149664476,0.05418270851813843
1127,0,467.1416259029172,22.462800979614258,0.10919420365684675,0.05299450861972359
1134,1,543.7619967904465,16.05462646484375,0.15261478573519516,0.062097214423730424
1136,1,522.1973382913135,17.332138061523438,0.13869575346493773,0.06492945377829644
1174,1,520.2964897001515,19.104419708251953,0.1259154777781394,0.06779982053936286
1223,0,498.2457694968255,20.636829376220703,0.11436512871682815,0.05984435844208705
1266,1,475.4822557957593,24.402116775512695,0.10004849443129869,0.061424019072795544
1267,0,396.12554751986477,31.085227966308594,0.07956792228211103,0.05864546682821946
1307,0,469.3815075160165,25.098751068115234,0.09933933679023911,0.06247828618344292
1450,1,513.7626395322335,19.372783660888672,0.12799506454615464,0.06900438135142556
1451,0,467.09565099997803,26.480213165283203,0.09524819390376524,0.06960021910046957
