direction,false_rate,incoh_rate,true_rate,n,arm,abs_mag,signed_mag,prompt_set,rel_mag,layer,h_src_median
mag_resid_pc1,0.125,0.1875,0.6875,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_resid_pc1,0.0625,0.15625,0.78125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_resid_pc1,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_resid_pc1,0.03125,0.125,0.84375,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_resid_pc1,0.09375,0.15625,0.75,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_Answered,0.15625,0.21875,0.625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_Answered,0.0625,0.1875,0.75,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_Answered,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_Answered,0.03125,0.09375,0.875,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_Answered,0.125,0.1875,0.6875,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_FewShot,0.28125,0.0625,0.65625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_FewShot,0.03125,0.1875,0.78125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_FewShot,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_FewShot,0.0625,0.09375,0.84375,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_FewShot,0.09375,0.09375,0.8125,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_Prefixed,0.0625,0.3125,0.625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_Prefixed,0.03125,0.1875,0.78125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_Prefixed,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_Prefixed,0.0625,0.09375,0.84375,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_Prefixed,0.09375,0.03125,0.875,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_QuestionDelta,0.0625,0.3125,0.625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_QuestionDelta,0.03125,0.1875,0.78125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_QuestionDelta,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_QuestionDelta,0.0625,0.09375,0.84375,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_QuestionDelta,0.09375,0.03125,0.875,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_gold,0.1875,0.1875,0.625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_gold,0.03125,0.15625,0.8125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_gold,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_gold,0.0,0.125,0.875,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_gold,0.15625,0.21875,0.625,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_yM,0.25,0.3125,0.4375,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
mag_u_yM,0.0625,0.1875,0.75,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_yM,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
mag_u_yM,0.0,0.125,0.875,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
mag_u_yM,0.03125,0.40625,0.5625,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
sup_grad,0.34375,0.125,0.53125,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
sup_grad,0.03125,0.125,0.84375,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
sup_grad,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
sup_grad,0.09375,0.125,0.78125,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
sup_grad,0.09375,0.1875,0.71875,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
sup_mean_diff,0.15625,0.1875,0.65625,32,naive,113.7951431274414,-113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
sup_mean_diff,0.03125,0.15625,0.8125,32,naive,34.13854293823242,-34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
sup_mean_diff,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
sup_mean_diff,0.0,0.15625,0.84375,32,naive,34.13854293823242,34.13854293823242,FACTUAL_32,0.2891516077674864,11,118.06451017794106
sup_mean_diff,0.09375,0.25,0.65625,32,naive,113.7951431274414,113.7951431274414,FACTUAL_32,0.963838692558288,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.1875,0.78125,32,reach_mean,5.604518778126244,-5.604518778126244,FACTUAL_32,0.04746997018561621,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.1875,0.78125,32,reach_mean,4.203389083594683,-4.203389083594683,FACTUAL_32,0.035602477639212156,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.1875,0.78125,32,reach_mean,2.802259389063122,-2.802259389063122,FACTUAL_32,0.023734985092808105,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,1.401129694531561,-1.401129694531561,FACTUAL_32,0.011867492546404053,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,0.0,0.0,FACTUAL_32,0.0,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,1.401129694531561,1.401129694531561,FACTUAL_32,0.011867492546404053,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,2.802259389063122,2.802259389063122,FACTUAL_32,0.023734985092808105,11,118.06451017794106
jtw_mean_diff_tgt,0.03125,0.125,0.84375,32,reach_mean,4.203389083594683,4.203389083594683,FACTUAL_32,0.035602477639212156,11,118.06451017794106
jtw_mean_diff_tgt,0.0,0.125,0.875,32,reach_mean,5.604518778126244,5.604518778126244,FACTUAL_32,0.04746997018561621,11,118.06451017794106
jtw_stmt,0.045,0.21,0.745,200,reach_stmt,0.0,,STMT_200,0.0,11,118.06451017794106
jtw_stmt,0.0,0.0,1.0,2,reach_stmt,0.24085160076299977,,STMT_200,0.00204,11,118.06451017794106
jtw_stmt,0.0,1.0,0.0,2,reach_stmt,0.38075804532386,,STMT_200,0.0032250000000000004,11,118.06451017794106
jtw_stmt,0.4,0.2,0.4,10,reach_stmt,0.6021290019074994,,STMT_200,0.0051,11,118.06451017794106
jtw_stmt,0.1111111111111111,0.3333333333333333,0.5555555555555556,18,reach_stmt,0.9515999520342051,,STMT_200,0.008060000000000001,11,118.06451017794106
jtw_stmt,0.05172413793103448,0.1896551724137931,0.7586206896551724,58,reach_stmt,1.5035515371160795,,STMT_200,0.012735000000000002,11,118.06451017794106
jtw_stmt,0.02531645569620253,0.13291139240506328,0.8417721518987342,158,reach_stmt,2.3789998800855123,,STMT_200,0.02015,11,118.06451017794106
jtw_stmt,0.04081632653061224,0.17346938775510204,0.7857142857142857,196,reach_stmt,3.7603546491674233,,STMT_200,0.03185,11,118.06451017794106
jtw_stmt,0.02564102564102564,0.19658119658119658,0.7777777777777778,234,reach_stmt,5.944548087459332,,STMT_200,0.05035,11,118.06451017794106
jtw_stmt,0.02564102564102564,0.21794871794871795,0.7564102564102564,78,reach_stmt,9.397935010164108,,STMT_200,0.0796,11,118.06451017794106
jtw_stmt,0.075,0.375,0.55,40,reach_stmt,14.846612154876087,,STMT_200,0.12575,11,118.06451017794106
