layer,acc_direct,auc_direct,acc_inputdelta,auc_inputdelta,cos_meandiff_vs_steer,abscos_meandiff_vs_steer,norm_direct_median,norm_delta_median,m_all_median,m_last_median,eps_all_median,eps_last_median,broadcast_gain,eps_all_p10,eps_all_p90,inject_layer
0,0.5089887640449439,0.5100770104784749,0.5089887640449439,0.5100770104784749,0.05037325502071323,0.05037325502071323,106.83280427157523,75.74537934370953,1.1061933040618896,0.3025965392589569,2.920948342195965,10.693367193297842,3.2695436477661133,0.2557402548953619,11.376748341047715,13
1,0.5831460674157304,0.6299558136598914,0.5943820224719101,0.6350662795101628,0.12551986884586183,0.12551986884586183,55.88912114262652,46.39062067289103,0.9303735494613647,0.2872373163700104,3.4664874338004146,11.06997623166205,3.088313102722168,0.2935618570767633,12.775973936412962,13
2,0.5820224719101124,0.6289811892437823,0.6101123595505618,0.6334907208685773,0.1766160679713186,0.1766160679713186,62.22806183092672,47.67552921948317,0.7490488290786743,0.2931258678436279,4.189032539700911,11.398164657334696,2.5820798873901367,0.3703265887318975,14.97760429263987,13
3,0.6078651685393258,0.648726170938013,0.6213483146067416,0.6658704709001388,0.18982188881603324,0.18982188881603324,48.026750963941716,54.803463721307864,0.7808763384819031,0.2967577576637268,4.227153528486298,12.023007081269222,2.5852198600769043,0.3626116929937467,14.90749592413217,13
4,0.6280898876404495,0.659881328115137,0.6134831460674157,0.6636586289609898,0.2690346577980006,0.2690346577980006,55.00089499863266,65.83917131876865,0.7862362861633301,0.3000518083572387,4.046922583515874,11.612964724280465,2.5650339126586914,0.3743408029449102,14.767684544483332,13
5,0.6494382022471911,0.685984092917561,0.6393258426966292,0.6899532887261709,0.33382622910850335,0.33382622910850335,55.62395112551431,66.71606709010425,0.7874186038970947,0.3144038915634155,4.108734914334903,11.43868431483668,2.4275827407836914,0.3763407680929413,14.57631357826292,13
6,0.6280898876404495,0.685953793712915,0.648314606741573,0.6938719858603711,0.3942843507081556,0.3942843507081556,66.5216758397761,74.10737647400038,0.7736103534698486,0.3181034326553345,4.211454737312907,11.16816384204251,2.3315250873565674,0.37826170403603,14.859451449190534,13
7,0.6314606741573033,0.6751521272566596,0.6325842696629214,0.6829087236460043,0.4674855544450501,0.4674855544450501,74.1938492728596,71.53873992243011,0.8327754735946655,0.3246362209320068,3.932789859892698,10.806577854684726,2.5273680686950684,0.3359134324961144,14.190195664812572,13
8,0.6752808988764045,0.7161823002146195,0.6696629213483146,0.7188233808862518,0.6028338790828159,0.6028338790828159,95.38689458778973,85.33313651635117,0.6759134531021118,0.3153565526008606,4.596021035705274,10.424774432806483,2.0158708095550537,0.3898996708487454,16.646172464496427,13
9,0.6741573033707865,0.7391995960106047,0.6696629213483146,0.7371089508900391,0.6447610916240756,0.6447610916240756,101.51985763333916,93.32988715367009,0.6668030023574829,0.3090032935142517,4.543265996747529,10.679039049435977,2.05053186416626,0.414891442431776,16.546284829665677,13
10,0.6730337078651686,0.7282969322055295,0.6775280898876405,0.734437571013761,0.6803849399407302,0.6803849399407302,111.15706401835376,108.19937185065517,0.6088652014732361,0.2935193181037903,5.073912665156255,11.140801351212309,1.9710028171539309,0.4737518713935323,17.83182359678055,13
11,0.697752808988764,0.7659234945082691,0.7146067415730337,0.7588284307536927,0.7615800830851329,0.7615800830851329,126.85401017947312,117.54727865897554,0.5809978246688843,0.2904286980628967,5.095383920291292,11.50984119647436,1.996798753738403,0.4690058007351129,18.286023911531576,13
12,0.7089887640449438,0.7772048983714178,0.7056179775280899,0.7723418760257543,0.8627470815406242,0.8627470815406242,148.01902203893104,135.48641242543667,0.5550888180732727,0.2834091782569885,5.584298244803779,11.415455353252124,1.9262735843658447,0.4892899147126932,19.040726692622616,13
13,0.7044943820224719,0.7788107562176493,0.7078651685393258,0.7780128771619745,0.9999999999999997,0.9999999999999997,151.30301483515342,143.371915440436,0.5797006487846375,0.2876141667366028,5.34074836493912,11.196309245805413,1.915779709815979,0.4872458308030185,18.32167075259927,13
14,0.7280898876404495,0.798722383537432,0.7213483146067415,0.7982022471910112,0.8117777154800668,0.8117777154800668,192.76801129856727,176.30852763175008,0.5092923045158386,0.2789241075515747,6.188165609103253,11.297215188000347,1.7382361888885498,0.5424755541488866,21.28696188757601,13
15,0.7258426966292135,0.7970862264865547,0.7224719101123596,0.7936270672894836,0.6911278797961098,0.6911278797961098,213.3180142130143,189.87437078249314,0.5142101049423218,0.2801564931869507,6.426375674752348,11.286541956103465,1.726477861404419,0.5434744835676525,20.87494761410328,13
16,0.7224719101123596,0.7833909859866179,0.7191011235955056,0.7897790682994571,0.6184676721895884,0.6184676721895884,217.37662589602763,196.10435274085216,0.4979215860366821,0.3065948486328125,6.595269069615908,10.75764598055038,1.5476185083389282,0.59103614770592,21.03151661123801,13
17,0.7269662921348314,0.7815578841055422,0.7213483146067415,0.7779825779573286,0.5352253671408774,0.5352253671408774,272.46855808636144,233.72577313313724,0.4236101508140564,0.2894891500473022,7.608687378615523,11.109654160584917,1.407524824142456,0.6920757598294403,23.77928321413471,13
18,0.7101123595505618,0.7809014013382147,0.7089887640449438,0.7805782098219922,0.46956941490062476,0.46956941490062476,274.65079005718735,231.16645232000855,0.4090233743190765,0.2938066720962524,8.078646129842339,11.468735140768748,1.3680707216262815,0.746956027350869,25.05944752246987,13
19,0.7089887640449438,0.7746850145183689,0.7269662921348314,0.7826284560030299,0.42044078171298055,0.42044078171298055,318.8291406391194,265.68375467809693,0.3637015521526336,0.2785367965698242,9.165904796159433,12.08563828051546,1.296481370925903,0.8829839268994719,27.21306269442548,13
20,0.7044943820224719,0.7666557252872113,0.7146067415730337,0.7735538442115895,0.38693200736062977,0.38693200736062977,333.5412423683224,294.9240230853911,0.3249602913856506,0.2584167122840881,9.984239912969898,12.749990162693068,1.2311041355133057,1.0032254058490468,28.899619850555183,13
21,0.6955056179775281,0.7719176871607121,0.6966292134831461,0.7711147582375961,0.3746834308870755,0.3746834308870755,366.5740391172946,317.0986291535972,0.2993285655975342,0.2364740073680877,11.199578677619492,14.255194738169578,1.222516655921936,1.0839546887176363,30.828557085320117,13
22,0.698876404494382,0.7593485671001137,0.7123595505617978,0.767438454740563,0.34070271079060976,0.34070271079060976,435.43227972325536,375.08665394519335,0.2591051459312439,0.2088835388422012,13.339897367246955,16.016510020951007,1.190643310546875,1.3501157522047142,36.03379326481404,13
23,0.6898876404494382,0.7551268779194547,0.7146067415730337,0.779613685140765,0.31506719503364833,0.31506719503364833,506.9549902757259,414.4444404223951,0.2248070538043975,0.1898053437471389,15.638617167516047,18.586453752308586,1.1686627864837646,1.5809878630325511,41.15202847784804,13
24,0.6966292134831461,0.7566317384168666,0.7033707865168539,0.7677919454614317,0.30159322541233036,0.30159322541233036,555.6078956553558,453.79370687895147,0.2007153034210205,0.1711384654045105,17.650876203716866,20.25266853879829,1.1251229047775269,1.776519114864547,47.50762558164522,13
25,0.7056179775280899,0.7591061734629465,0.6966292134831461,0.7626057315995456,0.26060892219285436,0.26060892219285436,600.6569431100997,520.7687365768744,0.1808925867080688,0.1673061102628708,19.92691222592954,21.045408085316016,1.0605361461639404,1.8790848739324857,51.05537844334639,13
26,0.6943820224719102,0.7666860244918572,0.6966292134831461,0.7718318394142153,0.13860134149727454,0.13860134149727454,225.50223412749878,212.72616433901246,,,,,,,,13
