direction,scale,n_yesno,k_flip,flip_rate,k_parse_gain,k_flip_true,base_parse_rate,mean_d_margin,sd_d_margin,wilcoxon_p_raw,n_judged,k_false,k_incoh,false_rate,incoh_rate
baseline,0.0,24,0,0.0,0,0,0.0,0.0,0.0,1.0,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,-1.0,24,0,0.0,0,0,0.0,-0.014084696124999999,0.01501111281147883,0.00023925304412841797,32,9,6,0.28125,0.1875
jtw_mean_diff_tgt,-0.82,24,0,0.0,0,0,0.0,-0.01924063166666667,0.01765113260348805,7.62939453125e-05,32,9,4,0.28125,0.125
jtw_mean_diff_tgt,-0.66,24,0,0.0,0,0,0.0,-0.016011457416666666,0.020659110334226214,0.0012379884719848633,32,8,1,0.25,0.03125
jtw_mean_diff_tgt,-0.52,24,0,0.0,0,0,0.0,0.011027103658333334,0.022734839818442272,0.03948163986206055,32,1,1,0.03125,0.03125
jtw_mean_diff_tgt,-0.4,24,0,0.0,0,0,0.0,0.04784829870833333,0.02444657317777763,1.1920928955078125e-07,32,3,0,0.09375,0.0
jtw_mean_diff_tgt,-0.3,24,1,0.041666666666666664,1,0,0.0,0.05631328750000001,0.019449184570037945,1.1920928955078125e-07,32,3,2,0.09375,0.0625
jtw_mean_diff_tgt,-0.22,24,0,0.0,0,0,0.0,0.03177559291666667,0.01161718650022138,1.1920928955078125e-07,32,1,6,0.03125,0.1875
jtw_mean_diff_tgt,-0.15,24,0,0.0,0,0,0.0,0.008688335291666667,0.006573265454260935,1.3113021850585938e-05,32,0,7,0.0,0.21875
jtw_mean_diff_tgt,-0.08,24,0,0.0,0,0,0.0,-0.0016648495083333333,0.003386870253299528,0.026927709579467773,32,0,6,0.0,0.1875
jtw_mean_diff_tgt,-0.04,24,0,0.0,0,0,0.0,-0.0023160718291666666,0.0017828061026319095,2.9802322387695312e-06,32,1,6,0.03125,0.1875
jtw_mean_diff_tgt,-0.02,24,0,0.0,0,0,0.0,-0.0014987893333333333,0.0009255363274597185,5.960464477539062e-07,32,1,6,0.03125,0.1875
jtw_mean_diff_tgt,-0.01,24,0,0.0,0,0,0.0,-0.00083100125,0.00047211752450876317,2.384185791015625e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,0.01,24,0,0.0,0,0,0.0,0.0009858473791666666,0.0004911322898975192,2.384185791015625e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,0.02,24,0,0.0,0,0,0.0,0.0021165514625,0.0010003670258035271,2.384185791015625e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,0.04,24,0,0.0,0,0,0.0,0.00476442475,0.002064479380965137,1.1920928955078125e-07,32,0,4,0.0,0.125
jtw_mean_diff_tgt,0.08,24,0,0.0,0,0,0.0,0.011180037916666668,0.004270207991916308,1.1920928955078125e-07,32,1,4,0.03125,0.125
jtw_mean_diff_tgt,0.15,24,0,0.0,0,0,0.0,0.023695908333333335,0.00793718152242517,1.1920928955078125e-07,32,1,4,0.03125,0.125
jtw_mean_diff_tgt,0.22,24,0,0.0,0,0,0.0,0.037398204166666664,0.011591326316070738,1.1920928955078125e-07,32,0,5,0.0,0.15625
jtw_mean_diff_tgt,0.3,24,3,0.125,3,0,0.0,0.056604704166666665,0.017100238098303706,1.1920928955078125e-07,32,0,4,0.0,0.125
jtw_mean_diff_tgt,0.4,24,8,0.3333333333333333,8,0,0.0,0.05715550375,0.027394615912413982,1.1920928955078125e-07,32,0,4,0.0,0.125
jtw_mean_diff_tgt,0.52,24,0,0.0,0,0,0.0,0.008735139791666667,0.026943125192502828,0.09509599208831787,32,0,5,0.0,0.15625
jtw_mean_diff_tgt,0.66,24,0,0.0,0,0,0.0,-0.028520039166666667,0.016949698621097232,2.384185791015625e-07,32,0,6,0.0,0.1875
jtw_mean_diff_tgt,0.82,24,0,0.0,0,0,0.0,-0.0376387,0.014323381370757882,1.1920928955078125e-07,32,1,12,0.03125,0.375
jtw_mean_diff_tgt,1.0,24,0,0.0,0,0,0.0,-0.0377723625,0.014261575006100117,1.1920928955078125e-07,32,6,16,0.1875,0.5
mag_resid_pc1,-1.0,24,20,0.8333333333333334,20,0,0.0,0.0539737025,0.049001466584582085,2.384185791015625e-07,32,4,7,0.125,0.21875
mag_resid_pc1,-0.82,24,23,0.9583333333333334,23,0,0.0,0.12979880416666667,0.09229581693798469,1.1920928955078125e-07,32,3,6,0.09375,0.1875
mag_resid_pc1,-0.66,24,24,1.0,24,0,0.0,0.16176583749999998,0.11242114104361955,1.1920928955078125e-07,32,1,7,0.03125,0.21875
mag_resid_pc1,-0.52,24,21,0.875,21,0,0.0,0.12607974583333334,0.0762721334953136,1.1920928955078125e-07,32,1,3,0.03125,0.09375
mag_resid_pc1,-0.4,24,2,0.08333333333333333,2,0,0.0,0.0762270625,0.03588329640909981,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_resid_pc1,-0.3,24,0,0.0,0,0,0.0,0.04769069583333333,0.017585070993081632,1.1920928955078125e-07,32,2,5,0.0625,0.15625
mag_resid_pc1,-0.22,24,0,0.0,0,0,0.0,0.03290449583333333,0.009389761877541859,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.15,24,0,0.0,0,0,0.0,0.022763737500000002,0.005610390517897593,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_resid_pc1,-0.08,24,0,0.0,0,0,0.0,0.011955887916666666,0.0031696977031763704,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.04,24,0,0.0,0,0,0.0,0.00577403375,0.0016917898908804622,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.02,24,0,0.0,0,0,0.0,0.002821501666666667,0.0008710882980635134,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.01,24,0,0.0,0,0,0.0,0.0013932016666666665,0.00044119903547390206,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.01,24,0,0.0,0,0,0.0,-0.001356444791666667,0.00045077795731543534,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.02,24,0,0.0,0,0,0.0,-0.0026748508333333336,0.0009087845527809044,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,0.04,24,0,0.0,0,0,0.0,-0.0051980241666666665,0.0018386972023263519,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,0.08,24,0,0.0,0,0,0.0,-0.009804187083333334,0.0036916263928511877,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_resid_pc1,0.15,24,0,0.0,0,0,0.0,-0.016591422916666664,0.006611127353872855,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_resid_pc1,0.22,24,0,0.0,0,0,0.0,-0.02169992083333333,0.00876108849565381,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_resid_pc1,0.3,24,0,0.0,0,0,0.0,-0.0250394125,0.01012491603702438,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_resid_pc1,0.4,24,0,0.0,0,0,0.0,-0.024753408333333334,0.010452137906705839,1.1920928955078125e-07,32,2,4,0.0625,0.125
mag_resid_pc1,0.52,24,0,0.0,0,0,0.0,-0.014396647541666668,0.010265891706973899,8.344650268554688e-07,32,3,3,0.09375,0.09375
mag_resid_pc1,0.66,24,17,0.7083333333333334,17,0,0.0,0.020920646666666667,0.01585526676414515,3.933906555175781e-06,32,1,2,0.03125,0.0625
mag_resid_pc1,0.82,24,23,0.9583333333333334,23,0,0.0,0.06248584166666666,0.02190399672422159,1.1920928955078125e-07,32,2,2,0.0625,0.0625
mag_resid_pc1,1.0,24,22,0.9166666666666666,22,0,0.0,0.042546875000000005,0.028421062003234274,3.5762786865234375e-07,32,2,5,0.0625,0.15625
mag_u_gold,-1.0,24,23,0.9583333333333334,23,0,0.0,0.08775782916666668,0.02551783865950623,1.1920928955078125e-07,32,5,8,0.15625,0.25
mag_u_gold,-0.82,24,8,0.3333333333333333,8,0,0.0,0.06647969166666667,0.023038430589926998,1.1920928955078125e-07,32,2,5,0.0625,0.15625
mag_u_gold,-0.66,24,0,0.0,0,0,0.0,0.025114712083333334,0.017168531293601748,1.1920928955078125e-06,32,3,3,0.09375,0.09375
mag_u_gold,-0.52,24,0,0.0,0,0,0.0,-0.007212904583333333,0.012145615091772647,0.007920503616333008,32,2,3,0.0625,0.09375
mag_u_gold,-0.4,24,0,0.0,0,0,0.0,-0.019836630125,0.01134338959345089,2.384185791015625e-07,32,1,4,0.03125,0.125
mag_u_gold,-0.3,24,0,0.0,0,0,0.0,-0.022866112916666664,0.010717612953654932,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.22,24,0,0.0,0,0,0.0,-0.02173043708333333,0.009331992129590728,1.1920928955078125e-07,32,0,7,0.0,0.21875
mag_u_gold,-0.15,24,0,0.0,0,0,0.0,-0.017988045416666664,0.007300354417203484,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_u_gold,-0.08,24,0,0.0,0,0,0.0,-0.011471585,0.004476056878194778,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_u_gold,-0.04,24,0,0.0,0,0,0.0,-0.006339571666666666,0.0024382543816813713,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_u_gold,-0.02,24,0,0.0,0,0,0.0,-0.003333351541666667,0.0012742559369811955,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.01,24,0,0.0,0,0,0.0,-0.00170925275,0.0006513399080256056,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.01,24,0,0.0,0,0,0.0,0.0017989126666666667,0.000681085826047462,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.02,24,0,0.0,0,0,0.0,0.0036915316666666664,0.0013923983050108547,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.04,24,0,0.0,0,0,0.0,0.007777725833333333,0.0029060945028948726,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.08,24,0,0.0,0,0,0.0,0.017310437083333335,0.006281826706090513,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.15,24,0,0.0,0,0,0.0,0.03958002083333333,0.012947533669557677,1.1920928955078125e-07,32,0,7,0.0,0.21875
mag_u_gold,0.22,24,2,0.08333333333333333,2,0,0.0,0.07045477500000001,0.019129266994144363,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_u_gold,0.3,24,7,0.2916666666666667,7,0,0.0,0.11072155833333334,0.022892224327238784,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_u_gold,0.4,24,19,0.7916666666666666,19,0,0.0,0.14410100416666669,0.02748820084517654,1.1920928955078125e-07,32,0,4,0.0,0.125
mag_u_gold,0.52,24,22,0.9166666666666666,22,0,0.0,0.13766237083333333,0.0386969794525808,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_u_gold,0.66,24,18,0.75,18,0,0.0,0.08304461666666667,0.044067438511185344,1.1920928955078125e-07,32,3,5,0.09375,0.15625
