k,quantity,mean_energy
57,w_probe_grad_tgt_in_U,0.270453
58,w_probe_grad_tgt_in_U,0.271821
59,w_probe_grad_tgt_in_U,0.273978
60,w_probe_grad_tgt_in_U,0.27503
61,w_probe_grad_tgt_in_U,0.276406
62,w_probe_grad_tgt_in_U,0.278631
63,w_probe_grad_tgt_in_U,0.280423
64,w_probe_grad_tgt_in_U,0.281912
1,md_src_in_V,0.000915205
2,md_src_in_V,0.00245353
3,md_src_in_V,0.00415007
4,md_src_in_V,0.00619223
5,md_src_in_V,0.00774649
6,md_src_in_V,0.00887367
7,md_src_in_V,0.00991773
8,md_src_in_V,0.0106399
9,md_src_in_V,0.0110852
10,md_src_in_V,0.0117055
11,md_src_in_V,0.012353
12,md_src_in_V,0.0129755
13,md_src_in_V,0.0135661
14,md_src_in_V,0.0142794
15,md_src_in_V,0.0148877
16,md_src_in_V,0.015615
17,md_src_in_V,0.0165761
18,md_src_in_V,0.0173824
19,md_src_in_V,0.0181759
20,md_src_in_V,0.0187526
21,md_src_in_V,0.0192987
22,md_src_in_V,0.0195931
23,md_src_in_V,0.0202276
24,md_src_in_V,0.0208076
25,md_src_in_V,0.0213135
26,md_src_in_V,0.0220587
27,md_src_in_V,0.0229602
28,md_src_in_V,0.0235974
29,md_src_in_V,0.0245306
30,md_src_in_V,0.0254049
31,md_src_in_V,0.0262157
32,md_src_in_V,0.0269547
33,md_src_in_V,0.0273963
34,md_src_in_V,0.0282915
35,md_src_in_V,0.029365
36,md_src_in_V,0.0301001
37,md_src_in_V,0.0306082
38,md_src_in_V,0.031377
39,md_src_in_V,0.0321205
40,md_src_in_V,0.0327867
41,md_src_in_V,0.0335445
42,md_src_in_V,0.0341582
43,md_src_in_V,0.0349835
44,md_src_in_V,0.0358219
45,md_src_in_V,0.0366554
46,md_src_in_V,0.0373499
47,md_src_in_V,0.0382337
48,md_src_in_V,0.0391712
49,md_src_in_V,0.0398165
50,md_src_in_V,0.0404031
51,md_src_in_V,0.0409958
52,md_src_in_V,0.0417988
53,md_src_in_V,0.0424435
54,md_src_in_V,0.0427913
55,md_src_in_V,0.0433141
56,md_src_in_V,0.0437861
57,md_src_in_V,0.0442067
58,md_src_in_V,0.0449043
59,md_src_in_V,0.045265
60,md_src_in_V,0.0457594
61,md_src_in_V,0.0466411
62,md_src_in_V,0.0474984
63,md_src_in_V,0.048212
64,md_src_in_V,0.0494385
1,rand_in_U,0.000155039
2,rand_in_U,0.000615207
3,rand_in_U,0.000763754
4,rand_in_U,0.000949093
5,rand_in_U,0.00117903
6,rand_in_U,0.00137149
7,rand_in_U,0.00156606
8,rand_in_U,0.00179525
9,rand_in_U,0.00206061
10,rand_in_U,0.00248225
11,rand_in_U,0.00304132
12,rand_in_U,0.00338473
13,rand_in_U,0.00387223
14,rand_in_U,0.00424451
15,rand_in_U,0.00465553
16,rand_in_U,0.00510339
17,rand_in_U,0.00549252
18,rand_in_U,0.00587553
19,rand_in_U,0.00643869
20,rand_in_U,0.00705022
21,rand_in_U,0.00760166
22,rand_in_U,0.00802284
23,rand_in_U,0.00855718
24,rand_in_U,0.00912367
25,rand_in_U,0.00947331
26,rand_in_U,0.00976632
27,rand_in_U,0.0100657
28,rand_in_U,0.0104586
29,rand_in_U,0.0109493
30,rand_in_U,0.011313
31,rand_in_U,0.0116708
32,rand_in_U,0.0119951
33,rand_in_U,0.0124632
34,rand_in_U,0.0127752
35,rand_in_U,0.0132626
36,rand_in_U,0.0137674
37,rand_in_U,0.0141846
38,rand_in_U,0.0146275
39,rand_in_U,0.0151302
40,rand_in_U,0.0155655
41,rand_in_U,0.0161151
42,rand_in_U,0.0164545
43,rand_in_U,0.0169249
44,rand_in_U,0.0175865
45,rand_in_U,0.0180566
46,rand_in_U,0.0185112
47,rand_in_U,0.0188584
48,rand_in_U,0.0195219
49,rand_in_U,0.0200334
50,rand_in_U,0.0205287
51,rand_in_U,0.0207879
52,rand_in_U,0.0212591
53,rand_in_U,0.0216891
54,rand_in_U,0.0221119
55,rand_in_U,0.0226185
56,rand_in_U,0.0231439
57,rand_in_U,0.0234962
58,rand_in_U,0.0240643
59,rand_in_U,0.0247426
60,rand_in_U,0.0251282
61,rand_in_U,0.0256866
62,rand_in_U,0.0263017
63,rand_in_U,0.0267775
64,rand_in_U,0.0272535
