stmt_index,label,eps_star,scale,g_read
933,1,30.7802,0.0,49.7806
933,1,30.7802,30.78023199792133,67.1769
933,1,30.7802,-30.78023199792133,17.3844
933,1,30.7802,36.847301959990936,67.7718
933,1,30.7802,-36.847301959990936,16.1367
564,1,1.28071,0.0,8.25753
564,1,1.28071,1.2807147467262459,15.3933
564,1,1.28071,-1.2807147467262459,-1.18645
564,1,1.28071,2.5614294934524917,20.6237
564,1,1.28071,-2.5614294934524917,-12.5256
480,1,20.9032,0.0,39.9415
480,1,20.9032,20.90324909628092,56.1138
480,1,20.9032,-20.90324909628092,10.7986
480,1,20.9032,36.847301959990936,57.7622
480,1,20.9032,-36.847301959990936,4.63257
554,1,5.57287,0.0,18.3284
554,1,5.57287,5.572869912924769,32.4797
554,1,5.57287,-5.572869912924769,-1.02428
554,1,5.57287,11.145739825849539,39.6265
554,1,5.57287,-11.145739825849539,-11.781
267,1,14.5015,0.0,35.5193
267,1,14.5015,14.501486983967233,57.3242
267,1,14.5015,-14.501486983967233,-11.6666
267,1,14.5015,29.002973967934466,63.9002
267,1,14.5015,-29.002973967934466,-35.6446
81,1,24.9777,0.0,49.1491
81,1,24.9777,24.977680251309177,64.0671
81,1,24.9777,-24.977680251309177,26.6049
81,1,24.9777,36.847301959990936,63.4325
81,1,24.9777,-36.847301959990936,28.8114
673,1,17.7949,0.0,50.8021
673,1,17.7949,17.794908443297686,63.7025
673,1,17.7949,-17.794908443297686,26.6199
673,1,17.7949,35.58981688659537,67.4992
673,1,17.7949,-35.58981688659537,24.3589
654,1,51.659,0.0,46.4019
654,1,51.659,36.847301959990936,68.6245
654,1,51.659,-36.847301959990936,24.4736
522,1,15.2462,0.0,40.8193
522,1,15.2462,15.246233788927682,61.6144
522,1,15.2462,-15.246233788927682,-0.933941
522,1,15.2462,30.492467577855365,67.0403
522,1,15.2462,-30.492467577855365,-7.89769
941,1,21.4676,0.0,52.4761
941,1,21.4676,21.467556003890333,69.0014
941,1,21.4676,-21.467556003890333,23.9357
941,1,21.4676,36.847301959990936,70.6854
941,1,21.4676,-36.847301959990936,23.5327
865,1,8.08994,0.0,24.9246
865,1,8.08994,8.089935704702745,39.2596
865,1,8.08994,-8.089935704702745,-10.6511
865,1,8.08994,16.17987140940549,43.6013
865,1,8.08994,-16.17987140940549,-44.9271
898,1,30.1826,0.0,58.5146
898,1,30.1826,30.18264976126592,74.2151
898,1,30.1826,-30.18264976126592,19.1173
898,1,30.1826,36.847301959990936,74.2432
898,1,30.1826,-36.847301959990936,16.1042
966,1,39.3263,0.0,52.9938
966,1,39.3263,36.847301959990936,76.147
966,1,39.3263,-36.847301959990936,12.0266
560,1,34.4739,0.0,59.3126
560,1,34.4739,34.473892187752,73.0819
560,1,34.4739,-34.473892187752,1.84731
560,1,34.4739,36.847301959990936,73.4133
560,1,34.4739,-36.847301959990936,2.47822
709,1,2.81557,0.0,10.2371
709,1,2.81557,2.81557162102685,19.4796
709,1,2.81557,-2.81557162102685,-0.600437
709,1,2.81557,5.6311432420537,26.4611
709,1,2.81557,-5.6311432420537,-11.4771
956,1,38.5023,0.0,58.0276
956,1,38.5023,36.847301959990936,79.188
