stmt,direction,frac,eps,gain,dM,slope,cos_first
171,random0,0.01,0.06511062138959516,0.21153799550379676,-0.00017324447522103754,-0.0026607713384336163,-0.018836843037210012
171,random0,0.1,0.6511062138959516,0.2115315539872833,-0.0017266756601756435,-0.002651910891533237,-0.018836843037210012
171,random0,1.0,6.511062138959516,0.21151831496462062,-0.017099790488253858,-0.002626267438907663,-0.018836843037210012
171,random0,4.0,26.044248555838063,0.21141666883923094,-0.06624399828588734,-0.002543517358308966,-0.018836843037210012
171,random1,0.01,0.06511062138959516,0.21033792174518062,-0.00042935843698665836,-0.006594291804059959,-0.03292832111463371
171,random1,0.1,0.6511062138959516,0.21033885018860496,-0.0042860198208468795,-0.006582673808626554,-0.03292832111463371
171,random1,1.0,6.511062138959516,0.21032716417718036,-0.04269042692022987,-0.0065565995238761315,-0.03292832111463371
171,random1,4.0,26.044248555838063,0.210230100128762,-0.16851209430740607,-0.006470222934100839,-0.03292832111463371
171,random2,0.01,0.06511062138959516,0.20820891514635415,-1.5411716708183692e-05,-0.00023670050107441493,0.001196914480027564
171,random2,0.1,0.6511062138959516,0.20822172125099975,-0.00014767796697667986,-0.00022681087021583727,0.001196914480027564
171,random2,1.0,6.511062138959516,0.2082651497032532,-0.001312524330681195,-0.0002015837512634981,0.001196914480027564
171,random2,4.0,26.044248555838063,0.20835105451644936,-0.003120891437858188,-0.0001198303506882563,0.001196914480027564
171,random3,0.01,0.06511062138959516,0.20806845119244882,0.0003299952413489401,0.005068224420319758,0.01872252736263025
171,random3,0.1,0.6511062138959516,0.2080512652978547,0.003304480323478273,0.005075178600593631,0.01872252736263025
171,random3,1.0,6.511062138959516,0.2080102777528052,0.03320446386462901,0.005099700042170872,0.01872252736263025
171,random3,4.0,26.044248555838063,0.2078163976021749,0.1348043130472396,0.005175972451584592,0.01872252736263025
171,random4,0.01,0.06511062138959516,0.20964600731053445,-0.0002319176533355305,-0.0035619020120823412,-0.019897432737398267
171,random4,0.1,0.6511062138959516,0.2096204538901694,-0.002309372423847219,-0.0035468443927587252,-0.019897432737398267
171,random4,1.0,6.511062138959516,0.20953236250229465,-0.02292213488595008,-0.003520490881018238,-0.019897432737398267
171,random4,4.0,26.044248555838063,0.20918568734192822,-0.08945822174441001,-0.0034348551678353993,-0.019897432737398267
171,random5,0.01,0.06511062138959516,0.2095129529209596,0.0002053695070276609,0.003154162909900895,0.020173401902866893
171,random5,0.1,0.6511062138959516,0.20952120500282323,0.002062270969899735,0.0031673341858618645,0.020173401902866893
171,random5,1.0,6.511062138959516,0.2095608106941133,0.0207894537802484,0.00319294353771451,0.020173401902866893
171,random5,4.0,26.044248555838063,0.20963305840009316,0.08528546033126858,0.0032746370143265677,0.020173401902866893
171,random6,0.01,0.06511062138959516,0.20877724182074608,9.771886551380256e-05,0.0015008129768735133,0.006974038469949774
171,random6,0.1,0.6511062138959516,0.20877183640944852,0.000988782101777839,0.001518618745567446,0.006974038469949774
171,random6,1.0,6.511062138959516,0.2087844633464428,0.01005598077324811,0.0015444455234234766,0.006974038469949774
171,random6,4.0,26.044248555838063,0.2087674534639112,0.04233850021272596,0.0016256372351059977,0.006974038469949774
171,random7,0.01,0.06511062138959516,0.2096919135304797,-0.00019122971687586288,-0.002936997263958256,-0.024023525539284697
171,random7,0.1,0.6511062138959516,0.20968624973584613,-0.0019065962972354012,-0.0029282415933755473,-0.024023525539284697
171,random7,1.0,6.511062138959516,0.209655343321541,-0.018901575067666227,-0.002902994114365302,-0.024023525539284697
