k,quantity,mean_energy
56,w_probe_grad_tgt_in_U,0.0183187
57,w_probe_grad_tgt_in_U,0.0186476
58,w_probe_grad_tgt_in_U,0.019003
59,w_probe_grad_tgt_in_U,0.0193115
60,w_probe_grad_tgt_in_U,0.0197667
61,w_probe_grad_tgt_in_U,0.0201208
62,w_probe_grad_tgt_in_U,0.0205487
63,w_probe_grad_tgt_in_U,0.0208265
64,w_probe_grad_tgt_in_U,0.0211413
1,md_src_in_V,0.00380238
2,md_src_in_V,0.00928235
3,md_src_in_V,0.0136036
4,md_src_in_V,0.0194386
5,md_src_in_V,0.0234931
6,md_src_in_V,0.0260885
7,md_src_in_V,0.0287952
8,md_src_in_V,0.031057
9,md_src_in_V,0.033146
10,md_src_in_V,0.0361602
11,md_src_in_V,0.0394985
12,md_src_in_V,0.0415833
13,md_src_in_V,0.0437744
14,md_src_in_V,0.0458069
15,md_src_in_V,0.0475274
16,md_src_in_V,0.0494601
17,md_src_in_V,0.0513008
18,md_src_in_V,0.0539101
19,md_src_in_V,0.0548969
20,md_src_in_V,0.0561759
21,md_src_in_V,0.0575019
22,md_src_in_V,0.0589212
23,md_src_in_V,0.0599194
24,md_src_in_V,0.0611218
25,md_src_in_V,0.061847
26,md_src_in_V,0.0630388
27,md_src_in_V,0.0646647
28,md_src_in_V,0.065568
29,md_src_in_V,0.0664652
30,md_src_in_V,0.0676476
31,md_src_in_V,0.0685961
32,md_src_in_V,0.0695311
33,md_src_in_V,0.0706147
34,md_src_in_V,0.0715572
35,md_src_in_V,0.0726346
36,md_src_in_V,0.0738106
37,md_src_in_V,0.0751325
38,md_src_in_V,0.0759637
39,md_src_in_V,0.0773049
40,md_src_in_V,0.0784379
41,md_src_in_V,0.0792785
42,md_src_in_V,0.0802771
43,md_src_in_V,0.0810893
44,md_src_in_V,0.0818173
45,md_src_in_V,0.0827126
46,md_src_in_V,0.0833807
47,md_src_in_V,0.0843203
48,md_src_in_V,0.0847877
49,md_src_in_V,0.0855861
50,md_src_in_V,0.0864789
51,md_src_in_V,0.0871069
52,md_src_in_V,0.0882816
53,md_src_in_V,0.0889154
54,md_src_in_V,0.0899554
55,md_src_in_V,0.0906011
56,md_src_in_V,0.0912142
57,md_src_in_V,0.0917478
58,md_src_in_V,0.0922947
59,md_src_in_V,0.0929218
60,md_src_in_V,0.093547
61,md_src_in_V,0.0940995
62,md_src_in_V,0.095078
63,md_src_in_V,0.0955237
64,md_src_in_V,0.0963873
1,rand_in_U,0.000283311
2,rand_in_U,0.000693245
3,rand_in_U,0.00104936
4,rand_in_U,0.00135575
5,rand_in_U,0.00169016
6,rand_in_U,0.00210869
7,rand_in_U,0.00274411
8,rand_in_U,0.00333682
9,rand_in_U,0.00373413
10,rand_in_U,0.00422817
11,rand_in_U,0.00473546
12,rand_in_U,0.00555857
13,rand_in_U,0.0060978
14,rand_in_U,0.00654445
15,rand_in_U,0.00703974
16,rand_in_U,0.00744148
17,rand_in_U,0.00822329
18,rand_in_U,0.00877228
19,rand_in_U,0.00909689
20,rand_in_U,0.00976061
21,rand_in_U,0.0101038
22,rand_in_U,0.0105207
23,rand_in_U,0.0110089
24,rand_in_U,0.0115803
25,rand_in_U,0.0119872
26,rand_in_U,0.0124884
27,rand_in_U,0.0128817
28,rand_in_U,0.0136224
29,rand_in_U,0.0141741
30,rand_in_U,0.0145737
31,rand_in_U,0.0149665
32,rand_in_U,0.0153571
33,rand_in_U,0.0156318
34,rand_in_U,0.0160559
35,rand_in_U,0.0166572
36,rand_in_U,0.016941
37,rand_in_U,0.0172406
38,rand_in_U,0.0178086
39,rand_in_U,0.0181917
40,rand_in_U,0.0186229
41,rand_in_U,0.019015
42,rand_in_U,0.0194672
43,rand_in_U,0.019977
44,rand_in_U,0.0203696
45,rand_in_U,0.0207334
46,rand_in_U,0.0209974
47,rand_in_U,0.0215602
48,rand_in_U,0.0219431
49,rand_in_U,0.0225145
50,rand_in_U,0.0229624
51,rand_in_U,0.0234338
52,rand_in_U,0.024028
53,rand_in_U,0.0243284
54,rand_in_U,0.0246257
55,rand_in_U,0.0249814
56,rand_in_U,0.0253562
57,rand_in_U,0.0258555
58,rand_in_U,0.0263465
59,rand_in_U,0.0268281
60,rand_in_U,0.0273794
61,rand_in_U,0.028092
62,rand_in_U,0.0283236
63,rand_in_U,0.0286867
64,rand_in_U,0.0291047
