direction,scale,n_yesno,k_flip,flip_rate,k_parse_gain,k_flip_true,base_parse_rate,mean_d_margin,sd_d_margin,wilcoxon_p_raw,n_judged,k_false,k_incoh,false_rate,incoh_rate
mag_resid_pc1,-0.04,24,0,0.0,0,0,0.0,-0.00964850125,0.0021666415078788618,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,-0.02,24,0,0.0,0,0,0.0,-0.00514236375,0.0011144844010682502,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.01,24,0,0.0,0,0,0.0,-0.0026523458333333333,0.0005653775674401071,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.01,24,0,0.0,0,0,0.0,0.002818724166666667,0.0005831052277018176,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,0.02,24,0,0.0,0,0,0.0,0.00580842875,0.0011850785578925267,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.04,24,0,0.0,0,0,0.0,0.012330939166666666,0.002455889510797005,1.1920928955078125e-07,32,2,4,0.0625,0.125
mag_resid_pc1,0.08,24,0,0.0,0,0,0.0,0.027880720833333334,0.005333915577410127,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_resid_pc1,0.15,24,5,0.20833333333333334,5,0,0.0,0.06603559583333334,0.011769605271777814,1.1920928955078125e-07,32,0,4,0.0,0.125
mag_resid_pc1,0.22,24,21,0.875,21,0,0.0,0.11743135,0.020728653819332775,1.1920928955078125e-07,32,1,3,0.03125,0.09375
mag_resid_pc1,0.3,24,24,1.0,24,0,0.0,0.16270339583333335,0.0346723597512044,1.1920928955078125e-07,32,1,3,0.03125,0.09375
mag_resid_pc1,0.4,24,24,1.0,24,0,0.0,0.17026494583333332,0.0471103689883843,1.1920928955078125e-07,32,2,2,0.0625,0.0625
mag_resid_pc1,0.52,24,24,1.0,24,0,0.0,0.13131381583333332,0.05084880677477974,2.384185791015625e-07,32,2,2,0.0625,0.0625
mag_resid_pc1,0.66,24,24,1.0,24,0,0.0,0.05146566249999999,0.04408517219263887,3.6597251892089844e-05,32,1,1,0.03125,0.03125
mag_resid_pc1,0.82,24,24,1.0,24,0,0.0,-0.023055303333333332,0.033447136437211616,0.0020009279251098633,32,0,0,0.0,0.0
mag_resid_pc1,1.0,24,24,1.0,24,0,0.0,-0.0417785875,0.024669092347207554,1.1920928955078125e-06,32,2,0,0.0625,0.0
mag_u_gold,-1.0,24,3,0.125,3,0,0.0,-0.1401953375,0.019708999193346045,1.1920928955078125e-07,32,5,10,0.15625,0.3125
mag_u_gold,-0.82,24,24,1.0,24,0,0.0,-0.205461625,0.020987628952008227,1.1920928955078125e-07,32,6,7,0.1875,0.21875
mag_u_gold,-0.66,24,24,1.0,24,0,0.0,-0.2093190833333333,0.020521298558192964,1.1920928955078125e-07,32,4,6,0.125,0.1875
mag_u_gold,-0.52,24,24,1.0,24,0,0.0,-0.14623066666666665,0.021703980061102933,1.1920928955078125e-07,32,4,3,0.125,0.09375
mag_u_gold,-0.4,24,2,0.08333333333333333,2,0,0.0,-0.0623236375,0.016097801315000392,1.1920928955078125e-07,32,3,4,0.09375,0.125
mag_u_gold,-0.3,24,0,0.0,0,0,0.0,-0.0295079875,0.010264351824738416,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.22,24,0,0.0,0,0,0.0,-0.01903355958333333,0.006700536648974294,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.15,24,0,0.0,0,0,0.0,-0.012792012916666666,0.004426151126206782,1.1920928955078125e-07,32,2,3,0.0625,0.09375
mag_u_gold,-0.08,24,0,0.0,0,0,0.0,-0.007042935416666667,0.00244140154220085,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_u_gold,-0.04,24,0,0.0,0,0,0.0,-0.0036685737499999997,0.001284947598680542,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.02,24,0,0.0,0,0,0.0,-0.001888506208333333,0.0006650032305811021,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,-0.01,24,0,0.0,0,0,0.0,-0.0009605880416666667,0.00033895235641265845,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_u_gold,0.01,24,0,0.0,0,0,0.0,0.0009990565,0.00035326542384888233,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_u_gold,0.02,24,0,0.0,0,0,0.0,0.0020431108333333332,0.0007223453530772651,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_u_gold,0.04,24,0,0.0,0,0,0.0,0.004292832083333333,0.0015131512439075447,1.1920928955078125e-07,32,2,7,0.0625,0.21875
mag_u_gold,0.08,24,0,0.0,0,0,0.0,0.00963689375,0.003334046563358383,1.1920928955078125e-07,32,2,8,0.0625,0.25
mag_u_gold,0.15,24,0,0.0,0,0,0.0,0.022713095833333335,0.007268207349670755,1.1920928955078125e-07,32,3,5,0.09375,0.15625
mag_u_gold,0.22,24,0,0.0,0,0,0.0,0.040902512499999995,0.011378541438289902,1.1920928955078125e-07,32,4,4,0.125,0.125
mag_u_gold,0.3,24,0,0.0,0,0,0.0,0.062189775,0.014829788784073001,1.1920928955078125e-07,32,2,6,0.0625,0.1875
mag_u_gold,0.4,24,1,0.041666666666666664,1,0,0.0,0.06380258333333333,0.018193187650677206,1.1920928955078125e-07,32,1,4,0.03125,0.125
mag_u_gold,0.52,24,0,0.0,0,0,0.0,-0.0009191325416666672,0.016093358655754727,0.5838061571121216,32,2,4,0.0625,0.125
mag_u_gold,0.66,24,0,0.0,0,0,0.0,-0.035511875,0.013886585055282983,1.1920928955078125e-07,32,3,6,0.09375,0.1875
mag_u_gold,0.82,24,0,0.0,0,0,0.0,-0.03758715,0.014265846580648786,1.1920928955078125e-07,32,6,8,0.1875,0.25
mag_u_gold,1.0,24,0,0.0,0,0,0.0,-0.03761716666666667,0.014274509481488373,1.1920928955078125e-07,32,5,11,0.15625,0.34375
rand_ctrl,-1.0,24,0,0.0,0,0,0.0,-0.01195032583333333,0.013042575406513409,0.00014960765838623047,32,5,3,0.15625,0.09375
rand_ctrl,-0.82,24,0,0.0,0,0,0.0,0.006654072791666667,0.014047643286660964,0.04248917102813721,32,2,0,0.0625,0.0
rand_ctrl,-0.66,24,0,0.0,0,0,0.0,0.036241762500000003,0.020128909588942888,1.1920928955078125e-07,32,2,3,0.0625,0.09375
rand_ctrl,-0.52,24,0,0.0,0,0,0.0,0.06350232083333333,0.028370178043976714,1.1920928955078125e-07,32,1,3,0.03125,0.09375
rand_ctrl,-0.4,24,0,0.0,0,0,0.0,0.07435498750000001,0.027645986394133588,1.1920928955078125e-07,32,1,3,0.03125,0.09375
rand_ctrl,-0.3,24,0,0.0,0,0,0.0,0.06846288333333332,0.01920212952983548,1.1920928955078125e-07,32,1,3,0.03125,0.09375
rand_ctrl,-0.22,24,0,0.0,0,0,0.0,0.05262007083333333,0.01166770308663226,1.1920928955078125e-07,32,0,5,0.0,0.15625
rand_ctrl,-0.15,24,0,0.0,0,0,0.0,0.034639333333333334,0.007505435698598523,1.1920928955078125e-07,32,0,5,0.0,0.15625
rand_ctrl,-0.08,24,0,0.0,0,0,0.0,0.0169861125,0.004256945220441174,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.04,24,0,0.0,0,0,0.0,0.007954137916666666,0.0022096446116395383,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.02,24,0,0.0,0,0,0.0,0.0038319875,0.0011178985657891677,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.01,24,0,0.0,0,0,0.0,0.0018788821666666667,0.0005609572640837435,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,0.01,24,0,0.0,0,0,0.0,-0.0018033077916666666,0.0005625247931375407,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.02,24,0,0.0,0,0,0.0,-0.0035302733333333336,0.0011237280018243107,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.04,24,0,0.0,0,0,0.0,-0.0067553775,0.002231151324515917,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.08,24,0,0.0,0,0,0.0,-0.012313334166666667,0.004315820122868398,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.15,24,0,0.0,0,0,0.0,-0.01952962125,0.007283899843237534,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.22,24,0,0.0,0,0,0.0,-0.024372790416666668,0.009299903450959084,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.3,24,0,0.0,0,0,0.0,-0.02807455,0.01072105709494374,1.1920928955078125e-07,32,1,8,0.03125,0.25
