stmt_index,label,direction,eps,eps_frac,rel_err
158,1,jtw_mean_diff_tgt,130.099,1.5,0.875594
158,1,mean_diff_src,4.33665,0.05,0.0595494
158,1,mean_diff_src,7.04972,0.08128,0.0953432
158,1,mean_diff_src,11.4601,0.1321,0.150789
158,1,mean_diff_src,18.6297,0.2148,0.233016
158,1,mean_diff_src,30.2847,0.3492,0.34562
158,1,mean_diff_src,49.2313,0.5676,0.482561
158,1,mean_diff_src,80.031,0.9227,0.625185
158,1,mean_diff_src,130.099,1.5,0.747477
158,1,dct_v_top,4.33665,0.05,0.181693
158,1,dct_v_top,7.04972,0.08128,0.325724
158,1,dct_v_top,11.4601,0.1321,0.647444
158,1,dct_v_top,18.6297,0.2148,2.07194
158,1,dct_v_top,30.2847,0.3492,3.14609
158,1,dct_v_top,49.2313,0.5676,2.38829
158,1,dct_v_top,80.031,0.9227,1.67433
158,1,dct_v_top,130.099,1.5,1.39428
158,1,random,4.33665,0.05,0.0422529
158,1,random,7.04972,0.08128,0.0689236
158,1,random,11.4601,0.1321,0.112586
158,1,random,18.6297,0.2148,0.184073
158,1,random,30.2847,0.3492,0.300523
158,1,random,49.2313,0.5676,0.486838
158,1,random,80.031,0.9227,0.767626
158,1,random,130.099,1.5,1.07319
185,1,jtw_mean_diff_tgt,4.33665,0.05,0.161961
185,1,jtw_mean_diff_tgt,7.04972,0.08128,0.247646
185,1,jtw_mean_diff_tgt,11.4601,0.1321,0.362279
185,1,jtw_mean_diff_tgt,18.6297,0.2148,0.49821
185,1,jtw_mean_diff_tgt,30.2847,0.3492,0.635539
185,1,jtw_mean_diff_tgt,49.2313,0.5676,0.753837
185,1,jtw_mean_diff_tgt,80.031,0.9227,0.845952
185,1,jtw_mean_diff_tgt,130.099,1.5,0.907315
185,1,mean_diff_src,4.33665,0.05,0.0534561
185,1,mean_diff_src,7.04972,0.08128,0.0864923
185,1,mean_diff_src,11.4601,0.1321,0.138997
185,1,mean_diff_src,18.6297,0.2148,0.219729
185,1,mean_diff_src,30.2847,0.3492,0.335196
185,1,mean_diff_src,49.2313,0.5676,0.47941
185,1,mean_diff_src,80.031,0.9227,0.626991
185,1,mean_diff_src,130.099,1.5,0.755352
185,1,dct_v_top,4.33665,0.05,0.133479
185,1,dct_v_top,7.04972,0.08128,0.219657
185,1,dct_v_top,11.4601,0.1321,0.359227
185,1,dct_v_top,18.6297,0.2148,0.583079
