stmt,direction,frac,eps,gain,dM,slope,cos_first
2036,random0,0.01,0.006026202250403132,0.33017957856455726,5.608972300331059e-06,0.0009307640313525551,0.0030628035922042425
2036,random0,0.1,0.06026202250403132,0.3301682099819359,5.39656218575726e-05,0.000895516274017562,0.0030628035922042425
2036,random0,1.0,0.6026202250403132,0.3301575193393109,0.0005399083413398207,0.0008959346515522321,0.0030628035922042425
2036,random0,4.0,2.410480900161253,0.33013633849103363,0.002164948667065804,0.0008981397309229774,0.0030628035922042425
2036,random1,0.01,0.006026202250403132,0.3282994419834392,1.8205830555915428e-05,0.0030211117714639465,0.012797914413516714
2036,random1,0.1,0.06026202250403132,0.3282928376946917,0.0001808898708412222,0.0030017225331114847,0.012797914413516714
2036,random1,1.0,0.6026202250403132,0.3282930335135774,0.001808232029454937,0.0030006162327757464,0.012797914413516714
2036,random1,4.0,2.410480900161253,0.3282795240160589,0.007237255658818113,0.00300241153469997,0.012797914413516714
2036,random2,0.01,0.006026202250403132,0.3251771024586378,6.503724570797847e-06,0.0010792410046248895,0.003385698549354152
2036,random2,0.1,0.06026202250403132,0.3252158929679672,6.345006049480827e-05,0.0010529029371784474,0.003385698549354152
2036,random2,1.0,0.6026202250403132,0.3252123655345838,0.0006355063011576961,0.001054571809492758,0.003385698549354152
2036,random2,4.0,2.410480900161253,0.3252158659096781,0.0025467760898785605,0.0010565427378861165,0.003385698549354152
2036,random3,0.01,0.006026202250403132,0.3241059476643227,1.4297247386896235e-07,2.372513698148747e-05,0.0005572910666258191
2036,random3,0.1,0.06026202250403132,0.3241026682280707,6.681422010926719e-07,1.1087284716472559e-05,0.0005572910666258191
2036,random3,1.0,0.6026202250403132,0.3240832638875572,1.0043051349131705e-05,1.6665639372558164e-05,0.0005572910666258191
2036,random3,4.0,2.410480900161253,0.3240131869212925,4.510832830994377e-05,1.8713414533558916e-05,0.0005572910666258191
2036,random4,0.01,0.006026202250403132,0.3275875079145849,-1.263800882521793e-05,-0.0020971763475698965,-0.00552671474472532
2036,random4,0.1,0.06026202250403132,0.32753365174110577,-0.00012872514137489112,-0.0021360906260037963,-0.00552671474472532
2036,random4,1.0,0.6026202250403132,0.3275186606708098,-0.0012854017701071896,-0.0021330212905170927,-0.00552671474472532
2036,random4,4.0,2.410480900161253,0.32747607680673296,-0.005136710707001633,-0.0021309900056283395,-0.00552671474472532
2036,random5,0.01,0.006026202250403132,0.3271102879405035,2.0674580777673955e-05,0.00343078109870788,0.010394591403080973
2036,random5,0.1,0.06026202250403132,0.32707581785970763,0.00020634177735221848,0.0034240765373982416,0.010394591403080973
2036,random5,1.0,0.6026202250403132,0.32708827280542135,0.0020643639329513677,0.003425646613193689,0.010394591403080973
2036,random5,4.0,2.410480900161253,0.32711272367444066,0.00826328367756938,0.003428064365503413,0.010394591403080973
2036,random6,0.01,0.006026202250403132,0.32597317603745724,1.0009538942163552e-05,0.0016610028217180976,0.005488110898992447
2036,random6,0.1,0.06026202250403132,0.3258801236379202,0.00010194946768554315,0.001691769765588652,0.005488110898992447
2036,random6,1.0,0.6026202250403132,0.3258756060707333,0.001017534024530883,0.0016885162200834091,0.005488110898992447
2036,random6,4.0,2.410480900161253,0.3258650672304844,0.0040761871618241645,0.0016910265339797888,0.005488110898992447
2036,random7,0.01,0.006026202250403132,0.32664294101370744,-4.666755795273709e-07,-7.744107484878257e-05,0.0006297583374925771
2036,random7,0.1,0.06026202250403132,0.3266604937548094,-5.623854639316331e-06,-9.332336363154945e-05,0.0006297583374925771
2036,random7,1.0,0.6026202250403132,0.32664698638730405,-5.526781422328679e-05,-9.171251134093543e-05,0.0006297583374925771
2036,random7,4.0,2.410480900161253,0.32658413999674507,-0.00021642508452322622,-8.978502360618087e-05,0.0006297583374925771
2036,a_unit,0.01,0.006026202250403132,0.31657507705596094,0.0018918986938665063,0.3139454361559048,0.9999999361220955
2036,a_unit,0.1,0.06026202250403132,0.31653548966825995,0.01891866671496881,0.3139401223001305,0.9999999361220955
2036,a_unit,1.0,0.6026202250403132,0.3165352618834226,0.18918708066903828,0.31394080850237366,0.9999999361220955
2036,a_unit,4.0,2.410480900161253,0.31653730385852985,0.7567641546670001,0.31394737648258286,0.9999999361220955
2036,oracle,0.01,0.006026202250403132,0.31657507705596094,0.0018918986938665063,0.3139454361559048,0.9999999680610471
2036,oracle,0.1,0.06026202250403132,0.31653547028174567,0.018918665541377586,0.3139401028253241,0.9999999680610471
