stmt,direction,frac,eps,gain,dM,slope,cos_first
171,random0,0.01,0.06511062138959516,1.0000013749132912,-0.0012265507779769267,-0.018837952269534518,-0.018836843037210012
171,random0,0.1,0.6511062138959516,0.9999998429243862,-0.012264798586979465,-0.01883686305739882,-0.018836843037210012
171,random0,1.0,6.511062138959516,1.0000000097579385,-0.12264782405393625,-0.018836838204946953,-0.018836843037210012
171,random0,4.0,26.044248555838063,1.000000001594144,-0.490591515838782,-0.01883684663763552,-0.018836843037210012
171,random1,0.01,0.06511062138959516,1.0000002569909663,-0.002143971566391966,-0.032928138614486915,-0.03292832111463371
171,random1,0.1,0.6511062138959516,1.000000018691614,-0.021440009058284526,-0.03292858922355592,-0.03292832111463371
171,random1,1.0,6.511062138959516,1.0000000021772653,-0.2143983813164032,-0.032928326706257574,-0.03292832111463371
171,random1,4.0,26.044248555838063,1.0000000044517665,-0.8575933818574768,-0.032928321199931075,-0.03292832111463371
171,random2,0.01,0.06511062138959516,1.000000385022314,7.795307419965425e-05,0.0011972405198410739,0.001196914480027564
171,random2,0.1,0.6511062138959516,0.9999995892814382,0.0007793128975427713,0.0011969059439314574,0.001196914480027564
171,random2,1.0,6.511062138959516,0.9999999929314385,0.007793137236214595,0.0011969072126625346,0.001196914480027564
171,random2,4.0,26.044248555838063,1.000000001856539,0.031172751849679298,0.0011969150034352454,0.001196914480027564
171,random3,0.01,0.06511062138959516,1.0000001222937183,0.0012189756593869068,0.018721609982694808,0.01872252736263025
171,random3,0.1,0.6511062138959516,0.999999914656924,0.012190335623198635,0.018722499283575694,0.01872252736263025
171,random3,1.0,6.511062138959516,1.000000003695633,0.12190354076316674,0.01872252762475513,0.01872252736263025
171,random3,4.0,26.044248555838063,0.9999999971912674,0.48761411650209446,0.018722525837390352,0.01872252736263025
171,random4,0.01,0.06511062138959516,1.000000187162077,-0.0012955763894572153,-0.01989808055593602,-0.019897432737398267
171,random4,0.1,0.6511062138959516,0.9999998159204498,-0.012955286978276196,-0.019897348085125915,-0.019897432737398267
171,random4,1.0,6.511062138959516,1.0000000139758247,-0.12955347453089833,-0.019897440965231106,-0.019897432737398267
171,random4,4.0,26.044248555838063,1.000000000976717,-0.5182137056333135,-0.019897433574337126,-0.019897432737398267
171,random5,0.01,0.06511062138959516,1.0000018839815332,0.0013136560367768572,0.020175756408719867,0.020173401902866893
171,random5,0.1,0.6511062138959516,1.0000000603050245,0.01313507263034228,0.02017347147057223,0.020173401902866893
171,random5,1.0,6.511062138959516,0.9999999972202159,0.13135035948470078,0.02017341513280211,0.020173401902866893
171,random5,4.0,26.044248555838063,0.9999999945540142,0.5254011047736652,0.020173402340529098,0.020173401902866893
171,random6,0.01,0.06511062138959516,0.999999823586092,0.00045411477370842744,0.006974511439403896,0.006974038469949774
171,random6,0.1,0.6511062138959516,1.0000002335881302,0.004540840545892858,0.006974039640510166,0.006974038469949774
171,random6,1.0,6.511062138959516,1.0000000095830641,0.045408392405043976,0.0069740376356322645,0.006974038469949774
171,random6,4.0,26.044248555838063,0.9999999997813702,0.18163361240624037,0.006974039278454264,0.006974038469949774
171,random7,0.01,0.06511062138959516,0.9999981225299415,-0.0015641318722373848,-0.024022683839526944,-0.024023525539284697
171,random7,0.1,0.6511062138959516,0.9999996729616267,-0.01564185304887749,-0.024023504483674143,-0.024023525539284697
171,random7,1.0,6.511062138959516,1.0000000008712957,-0.15641864851922105,-0.024023522611353414,-0.024023525539284697
171,random7,4.0,26.044248555838063,1.0000000055621547,-0.6256746931792083,-0.0240235264165054,-0.024023525539284697
171,a_unit,0.01,0.06511062138959516,0.9999987789341428,0.0651105467625746,0.9999988538425996,1.0000001550370041
171,a_unit,0.1,0.6511062138959516,1.0000000890804697,0.6511063223586231,1.0000001665821476,1.0000001550370041
171,a_unit,1.0,6.511062138959516,1.0000000899661563,6.511063229461083,1.0000001674844357,1.0000001550370041
171,a_unit,4.0,26.044248555838063,1.000000080334951,26.044252667012387,1.0000001578534436,1.0000001550370041
171,oracle,0.01,0.06511062138959516,1.0000015096311528,0.05397602470629395,0.828989549697639,0.8289896064560314
171,oracle,0.1,0.6511062138959516,1.0000000338691122,0.5397603301841245,0.8289896773591222,0.8289896064560314
171,oracle,1.0,6.511062138959516,0.9999999907335829,5.397602810576323,0.8289896019083107,0.8289896064560314
171,oracle,4.0,26.044248555838063,0.9999999984902406,21.59041132655415,0.8289896051431461,0.8289896064560314
171,md_full,0.01,0.06511062138959516,1.0000029120274105,0.0002591913179294613,0.003980783970384296,0.0039803947363149204
171,md_full,0.1,0.6511062138959516,1.0000003909547124,0.0025917024543337386,0.003980460328931678,0.0039803947363149204
171,md_full,1.0,6.511062138959516,1.0000000022791384,0.025916423881287558,0.00398036807638716,0.0039803947363149204
171,md_full,4.0,26.044248555838063,0.99999997657026,0.10366643305199445,0.0039803963946103815,0.0039803947363149204
171,mean_diff_tgt_asis,0.01,0.06511062138959516,0.9999988253826265,-0.0011298463096133427,-0.017352718888256458,-0.017352128633114576
171,mean_diff_tgt_asis,0.1,0.6511062138959516,1.0000001544144614,-0.011298053344877528,-0.017352089572720598,-0.017352128633114576
171,mean_diff_tgt_asis,1.0,6.511062138959516,1.0000000067636514,-0.11298073103146831,-0.017352119918413636,-0.017352128633114576
171,mean_diff_tgt_asis,4.0,26.044248555838063,1.000000001988674,-0.45192318210136767,-0.017352129823690568,-0.017352128633114576
171,probe_grad_tgt_asis,0.01,0.06511062138959516,1.0000021178253222,0.0008059176878648164,0.012377668507301393,0.012379494106079667
171,probe_grad_tgt_asis,0.1,0.6511062138959516,1.0000002208885967,0.008060233686740925,0.012379291603610728,0.012379494106079667
171,probe_grad_tgt_asis,1.0,6.511062138959516,0.9999999914948977,0.08060359630316086,0.012379485033764633,0.012379494106079667
