arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-7.278148675824411,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-7.247286742683462,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-7.2228969682615585,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-7.205537262359662,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-7.190998846311777,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-7.181338569130215,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-7.091576097608017,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-7.036401901026776,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.982691497226619,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.965162839608065,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.9623655760471985,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.955457452022946,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.954289715222995,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.884600760351485,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-6.870715371120302,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.866912564098373,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.864955620076457,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.801196012299527,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.77442596417077,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.698414413197035,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.689108721365574,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.640003647197151,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.639858387184374,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.6346774167610025,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.5337706587249125,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.512490760695237,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.492316414156293,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.4688282291455295,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.430949603857692,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.381739078007997,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.342025397772258,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.3213437777972326,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.263428839771532,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.233489988034129,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.216405837152835,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-6.177700571920674,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.155465913704982,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.117402269212784,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.109861054359838,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.083032254067614,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.074026783858698,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.0679532615493645,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.064480412889245,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.047105726428234,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.036411824722573,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-6.02205440941929,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-6.012949327010592,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.973376605339674,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.964483548400017,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.957776301774453,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.947034167512321,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.925208953206555,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.91991498796505,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.906235210394203,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.893215405724895,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.88870808560846,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.87434089984341,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.829896015895289,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.784413394712067,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.766951921004203,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.73652295586726,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.725519810791287,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.718224254396052,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.646183479071516,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.55890097746614,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.527529294135783,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.524965414243302,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.51077892631179,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.49649544138047,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.494073621454442,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.427661288657026,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.375876951670435,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.366985198942982,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.323630356111742,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.313248884662764,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.271719949575763,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.257538259318045,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.232585421523648,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.1630404392743285,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.154842181246617,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.1491090269159665,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.12394080818861,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.10863792376036,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.098396267830165,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.087419861591683,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.075582604772069,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-5.058588490998412,1,1.0000,0.0000,0.0000,0
