direction,eps,frac_reachable
truth_sub_0,11.6683,0.145492
truth_sub_0,12.2824,0.155738
truth_sub_0,12.8966,0.170082
truth_sub_0,13.5107,0.190574
truth_sub_0,14.1248,0.194672
truth_sub_0,14.7389,0.211066
truth_sub_0,15.353,0.235656
truth_sub_0,15.9672,0.256148
truth_sub_0,16.5813,0.278689
truth_sub_0,17.1954,0.305328
truth_sub_0,17.8095,0.317623
truth_sub_0,18.4237,0.342213
truth_sub_0,19.0378,0.370902
truth_sub_0,19.6519,0.383197
truth_sub_0,20.266,0.409836
truth_sub_0,20.8801,0.42623
truth_sub_0,21.4943,0.446721
truth_sub_0,22.1084,0.469262
truth_sub_0,22.7225,0.495902
truth_sub_0,23.3366,0.518443
truth_sub_0,23.9507,0.553279
truth_sub_0,24.5649,0.57582
truth_sub_0,25.179,0.60041
truth_sub_0,25.7931,0.631148
truth_sub_0,26.4072,0.651639
truth_sub_0,27.0214,0.665984
truth_sub_0,27.6355,0.688525
truth_sub_0,28.2496,0.70082
truth_sub_0,28.8637,0.715164
truth_sub_0,29.4778,0.739754
truth_sub_0,30.092,0.752049
truth_sub_0,30.7061,0.772541
truth_sub_0,31.3202,0.790984
truth_sub_0,31.9343,0.80123
truth_sub_0,32.5485,0.815574
truth_sub_0,33.1626,0.827869
truth_sub_0,33.7767,0.842213
truth_sub_0,34.3908,0.852459
truth_sub_0,35.0049,0.860656
truth_sub_0,35.6191,0.881148
truth_sub_0,36.2332,0.887295
truth_sub_0,36.8473,0.903689
rand_0,0,0.0348361
rand_0,0.614122,0.0635246
rand_0,1.22824,0.102459
rand_0,1.84237,0.153689
rand_0,2.45649,0.192623
rand_0,3.07061,0.247951
rand_0,3.68473,0.293033
rand_0,4.29885,0.340164
rand_0,4.91297,0.381148
rand_0,5.5271,0.454918
rand_0,6.14122,0.534836
rand_0,6.75534,0.606557
rand_0,7.36946,0.67418
rand_0,7.98358,0.729508
rand_0,8.5977,0.766393
rand_0,9.21183,0.809426
rand_0,9.82595,0.856557
rand_0,10.4401,0.887295
rand_0,11.0542,0.907787
rand_0,11.6683,0.92623
rand_0,12.2824,0.940574
rand_0,12.8966,0.94877
rand_0,13.5107,0.952869
rand_0,14.1248,0.971311
rand_0,14.7389,0.97541
rand_0,15.353,0.977459
rand_0,15.9672,0.981557
rand_0,16.5813,0.985656
rand_0,17.1954,0.987705
rand_0,17.8095,0.989754
rand_0,18.4237,0.993852
rand_0,19.0378,0.995902
rand_0,19.6519,0.995902
rand_0,20.266,0.995902
rand_0,20.8801,1
rand_0,21.4943,1
rand_0,22.1084,1
rand_0,22.7225,1
rand_0,23.3366,1
rand_0,23.9507,1
rand_0,24.5649,1
rand_0,25.179,1
rand_0,25.7931,1
rand_0,26.4072,1
rand_0,27.0214,1
rand_0,27.6355,1
rand_0,28.2496,1
rand_0,28.8637,1
rand_0,29.4778,1
rand_0,30.092,1
rand_0,30.7061,1
rand_0,31.3202,1
rand_0,31.9343,1
rand_0,32.5485,1
rand_0,33.1626,1
rand_0,33.7767,1
rand_0,34.3908,1
rand_0,35.0049,1
rand_0,35.6191,1
rand_0,36.2332,1
rand_0,36.8473,1
rand_1,0,0.0327869
rand_1,0.614122,0.045082
rand_1,1.22824,0.0922131
rand_1,1.84237,0.137295
rand_1,2.45649,0.206967
rand_1,3.07061,0.286885
rand_1,3.68473,0.368852
rand_1,4.29885,0.493852
rand_1,4.91297,0.594262
rand_1,5.5271,0.682377
rand_1,6.14122,0.743852
rand_1,6.75534,0.80123
rand_1,7.36946,0.829918
rand_1,7.98358,0.864754
rand_1,8.5977,0.903689
rand_1,9.21183,0.944672
rand_1,9.82595,0.956967
rand_1,10.4401,0.967213
rand_1,11.0542,0.97541
rand_1,11.6683,0.991803
rand_1,12.2824,0.993852
rand_1,12.8966,0.995902
rand_1,13.5107,0.997951
rand_1,14.1248,0.997951
rand_1,14.7389,1
rand_1,15.353,1
rand_1,15.9672,1
rand_1,16.5813,1
rand_1,17.1954,1
rand_1,17.8095,1
rand_1,18.4237,1
rand_1,19.0378,1
rand_1,19.6519,1
rand_1,20.266,1
rand_1,20.8801,1
rand_1,21.4943,1
rand_1,22.1084,1
rand_1,22.7225,1
rand_1,23.3366,1
rand_1,23.9507,1
rand_1,24.5649,1
rand_1,25.179,1
rand_1,25.7931,1
rand_1,26.4072,1
rand_1,27.0214,1
rand_1,27.6355,1
rand_1,28.2496,1
rand_1,28.8637,1
rand_1,29.4778,1
rand_1,30.092,1
rand_1,30.7061,1
rand_1,31.3202,1
rand_1,31.9343,1
rand_1,32.5485,1
rand_1,33.1626,1
rand_1,33.7767,1
rand_1,34.3908,1
rand_1,35.0049,1
rand_1,35.6191,1
rand_1,36.2332,1
rand_1,36.8473,1
rand_2,0,0.0307377
rand_2,0.614122,0.0348361
rand_2,1.22824,0.057377
rand_2,1.84237,0.079918
rand_2,2.45649,0.129098
rand_2,3.07061,0.172131
rand_2,3.68473,0.227459
rand_2,4.29885,0.321721
rand_2,4.91297,0.377049
rand_2,5.5271,0.456967
rand_2,6.14122,0.530738
rand_2,6.75534,0.594262
rand_2,7.36946,0.661885
rand_2,7.98358,0.741803
rand_2,8.5977,0.805328
rand_2,9.21183,0.860656
rand_2,9.82595,0.903689
rand_2,10.4401,0.938525
rand_2,11.0542,0.952869
rand_2,11.6683,0.969262
rand_2,12.2824,0.981557
rand_2,12.8966,0.987705
rand_2,13.5107,0.991803
rand_2,14.1248,0.997951
rand_2,14.7389,0.997951
rand_2,15.353,0.997951
rand_2,15.9672,1
rand_2,16.5813,1
rand_2,17.1954,1
rand_2,17.8095,1
rand_2,18.4237,1
rand_2,19.0378,1
rand_2,19.6519,1
rand_2,20.266,1
rand_2,20.8801,1
rand_2,21.4943,1
rand_2,22.1084,1
rand_2,22.7225,1
rand_2,23.3366,1
rand_2,23.9507,1
rand_2,24.5649,1
rand_2,25.179,1
rand_2,25.7931,1
rand_2,26.4072,1
rand_2,27.0214,1
rand_2,27.6355,1
rand_2,28.2496,1
rand_2,28.8637,1
rand_2,29.4778,1
rand_2,30.092,1
rand_2,30.7061,1
rand_2,31.3202,1
rand_2,31.9343,1
rand_2,32.5485,1
rand_2,33.1626,1
rand_2,33.7767,1
rand_2,34.3908,1
rand_2,35.0049,1
rand_2,35.6191,1
rand_2,36.2332,1
rand_2,36.8473,1
rand_4,0,0.0512295
rand_4,0.614122,0.0819672
rand_4,1.22824,0.108607
rand_4,1.84237,0.155738
rand_4,2.45649,0.217213
rand_4,3.07061,0.268443
rand_4,3.68473,0.311475
rand_4,4.29885,0.405738
rand_4,4.91297,0.493852
rand_4,5.5271,0.584016
rand_4,6.14122,0.64959
rand_4,6.75534,0.717213
rand_4,7.36946,0.79918
rand_4,7.98358,0.840164
rand_4,8.5977,0.872951
rand_4,9.21183,0.903689
rand_4,9.82595,0.932377
rand_4,10.4401,0.952869
rand_4,11.0542,0.97541
rand_4,11.6683,0.985656
rand_4,12.2824,0.993852
rand_4,12.8966,0.993852
rand_4,13.5107,0.997951
rand_4,14.1248,0.997951
rand_4,14.7389,1
rand_4,15.353,1
rand_4,15.9672,1
rand_4,16.5813,1
